"filename", "language", "TypeScript", "XML", "SCSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal.page.html", "HTML", 0, 0, 0, 37, 0, 7, 4, 48
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal.page.scss", "SCSS", 0, 0, 22, 0, 0, 0, 9, 31
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/recommend-modal/recommend-modal.page.ts", "TypeScript", 43, 0, 0, 0, 0, 1, 13, 57
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration.page.html", "HTML", 0, 0, 0, 49, 0, 3, 5, 57
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration.page.scss", "SCSS", 0, 0, 13, 0, 0, 0, 3, 16
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/registration/registration.page.ts", "TypeScript", 41, 0, 0, 0, 0, 50, 20, 111
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal.page.html", "HTML", 0, 0, 0, 33, 0, 14, 4, 51
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal.page.scss", "SCSS", 0, 0, 40, 0, 0, 0, 11, 51
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/review-modal/review-modal.page.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 12, 87
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email.page.html", "HTML", 0, 0, 0, 27, 0, 0, 2, 29
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/verify-email/verify-email.page.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 3, 19
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/auth.service.ts", "TypeScript", 164, 0, 0, 0, 0, 63, 51, 278
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/chat.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/chat.service.ts", "TypeScript", 201, 0, 0, 0, 0, 45, 38, 284
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/follow.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/follow.service.ts", "TypeScript", 72, 0, 0, 0, 0, 20, 18, 110
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/imdb-rating.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/imdb-rating.service.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 6, 23
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/profile.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/profile.service.ts", "TypeScript", 89, 0, 0, 0, 0, 2, 20, 111
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/read-movie.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/read-movie.service.ts", "TypeScript", 49, 0, 0, 0, 0, 8, 10, 67
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/review.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/review.service.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 7, 28
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/search-movies.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/search-movies.service.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 5, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/time-ago.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/time-ago.service.ts", "TypeScript", 69, 0, 0, 0, 0, 12, 20, 101
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/youtube.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/services/youtube.service.ts", "TypeScript", 18, 0, 0, 0, 0, 8, 5, 31
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1.page.html", "HTML", 0, 0, 0, 74, 0, 5, 9, 88
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1.page.scss", "SCSS", 0, 0, 37, 0, 0, 0, 11, 48
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1.page.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab1/tab1.page.ts", "TypeScript", 55, 0, 0, 0, 0, 17, 18, 90
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/movieBasic.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
